Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Fri Dec 7 2007,7:00 PM,Los Angeles Clippers,97,Sacramento Kings,87,Box Score,,
Fri Dec 7 2007,8:30 PM,Utah Jazz,98,San Antonio Spurs,104,Box Score,,
Fri Dec 7 2007,7:30 PM,Milwaukee Bucks,98,Seattle SuperSonics,104,Box Score,,
Fri Dec 7 2007,7:00 PM,Phoenix Suns,122,Washington Wizards,107,Box Score,,
Sat Dec 8 2007,7:00 PM,Memphis Grizzlies,78,Atlanta Hawks,86,Box Score,,
Sat Dec 8 2007,7:00 PM,Cleveland Cavaliers,93,Charlotte Bobcats,96,Box Score,,
Sat Dec 8 2007,7:30 PM,Boston Celtics,92,Chicago Bulls,81,Box Score,,
Sat Dec 8 2007,7:30 PM,Utah Jazz,117,Dallas Mavericks,125,Box Score,,
Sat Dec 8 2007,7:00 PM,Sacramento Kings,97,Denver Nuggets,101,Box Score,,
Sat Dec 8 2007,7:00 PM,Phoenix Suns,93,Minnesota Timberwolves,100,Box Score,,
Sat Dec 8 2007,7:30 PM,Philadelphia 76ers,105,New York Knicks,77,Box Score,,
Sun Dec 9 2007,6:00 PM,Charlotte Bobcats,85,Detroit Pistons,104,Box Score,,
Sun Dec 9 2007,12:30 PM,Miami Heat,100,Los Angeles Clippers,94,Box Score,,
Sun Dec 9 2007,6:30 PM,Golden State Warriors,113,Los Angeles Lakers,123,Box Score,,
Sun Dec 9 2007,6:00 PM,Seattle SuperSonics,88,New Orleans Hornets,91,Box Score,,
Sun Dec 9 2007,3:00 PM,Milwaukee Bucks,113,Portland Trail Blazers,117,Box Score,OT,
Sun Dec 9 2007,12:30 PM,Houston Rockets,80,Toronto Raptors,93,Box Score,,
Sun Dec 9 2007,7:00 PM,New Jersey Nets,89,Washington Wizards,104,Box Score,,
Mon Dec 10 2007,7:30 PM,Dallas Mavericks,99,New York Knicks,89,Box Score,,
Mon Dec 10 2007,7:00 PM,Atlanta Hawks,98,Orlando Magic,87,Box Score,,
Mon Dec 10 2007,7:00 PM,Houston Rockets,88,Philadelphia 76ers,100,Box Score,,
Mon Dec 10 2007,7:00 PM,Miami Heat,117,Phoenix Suns,113,Box Score,,
Mon Dec 10 2007,7:00 PM,Milwaukee Bucks,93,Sacramento Kings,96,Box Score,,
Tue Dec 11 2007,7:00 PM,Toronto Raptors,100,Atlanta Hawks,88,Box Score,,
Tue Dec 11 2007,7:30 PM,Seattle SuperSonics,96,Chicago Bulls,123,Box Score,,
Tue Dec 11 2007,7:00 PM,Indiana Pacers,105,Cleveland Cavaliers,118,Box Score,,
Tue Dec 11 2007,7:30 PM,San Antonio Spurs,84,Golden State Warriors,96,Box Score,,
Tue Dec 11 2007,7:00 PM,Detroit Pistons,113,Memphis Grizzlies,103,Box Score,,
Tue Dec 11 2007,7:30 PM,Los Angeles Clippers,91,New Jersey Nets,82,Box Score,,
Tue Dec 11 2007,7:00 PM,Portland Trail Blazers,97,Utah Jazz,89,Box Score,,
Tue Dec 11 2007,7:00 PM,Minnesota Timberwolves,88,Washington Wizards,102,Box Score,,
Wed Dec 12 2007,7:30 PM,Sacramento Kings,78,Boston Celtics,90,Box Score,,
Wed Dec 12 2007,7:00 PM,Los Angeles Clippers,103,Charlotte Bobcats,108,Box Score,,
Wed Dec 12 2007,7:00 PM,New Orleans Hornets,99,Denver Nuggets,105,Box Score,,
Wed Dec 12 2007,7:00 PM,Detroit Pistons,77,Houston Rockets,80,Box Score,,
Wed Dec 12 2007,7:00 PM,Chicago Bulls,102,Indiana Pacers,117,Box Score,,
Wed Dec 12 2007,7:00 PM,Orlando Magic,86,Milwaukee Bucks,100,Box Score,,
Wed Dec 12 2007,7:30 PM,Seattle SuperSonics,117,New York Knicks,110,Box Score,,
Wed Dec 12 2007,7:00 PM,Minnesota Timberwolves,94,Philadelphia 76ers,98,Box Score,,
Wed Dec 12 2007,8:30 PM,Utah Jazz,98,Phoenix Suns,103,Box Score,,
Wed Dec 12 2007,7:00 PM,Golden State Warriors,95,Portland Trail Blazers,105,Box Score,,
Wed Dec 12 2007,7:00 PM,Dallas Mavericks,76,Toronto Raptors,92,Box Score,,
Thu Dec 13 2007,7:30 PM,San Antonio Spurs,97,Los Angeles Lakers,102,Box Score,,
Thu Dec 13 2007,8:00 PM,Washington Wizards,104,Miami Heat,91,Box Score,,
Fri Dec 14 2007,7:30 PM,Milwaukee Bucks,82,Boston Celtics,104,Box Score,,
Fri Dec 14 2007,8:00 PM,Orlando Magic,103,Charlotte Bobcats,87,Box Score,,
Fri Dec 14 2007,7:30 PM,New York Knicks,96,Chicago Bulls,101,Box Score,,
Fri Dec 14 2007,7:30 PM,New Orleans Hornets,80,Dallas Mavericks,89,Box Score,,
Fri Dec 14 2007,8:00 PM,Atlanta Hawks,81,Detroit Pistons,91,Box Score,,
Fri Dec 14 2007,7:30 PM,Los Angeles Lakers,106,Golden State Warriors,108,Box Score,,
Fri Dec 14 2007,7:00 PM,Toronto Raptors,104,Indiana Pacers,93,Box Score,,
Fri Dec 14 2007,7:00 PM,Los Angeles Clippers,98,Memphis Grizzlies,91,Box Score,,
Fri Dec 14 2007,7:00 PM,Seattle SuperSonics,99,Minnesota Timberwolves,88,Box Score,,
Fri Dec 14 2007,8:00 PM,Cleveland Cavaliers,97,New Jersey Nets,105,Box Score,,
Fri Dec 14 2007,7:00 PM,Sacramento Kings,109,Philadelphia 76ers,99,Box Score,,
Fri Dec 14 2007,7:00 PM,Utah Jazz,91,Portland Trail Blazers,99,Box Score,,
Sat Dec 15 2007,7:00 PM,Charlotte Bobcats,84,Atlanta Hawks,93,Box Score,,
Sat Dec 15 2007,7:30 PM,Philadelphia 76ers,92,Cleveland Cavaliers,86,Box Score,,
Sat Dec 15 2007,7:30 PM,Dallas Mavericks,96,Houston Rockets,83,Box Score,,
Sat Dec 15 2007,7:30 PM,Indiana Pacers,106,Miami Heat,103,Box Score,,
Sat Dec 15 2007,7:30 PM,Minnesota Timberwolves,92,Milwaukee Bucks,95,Box Score,,
Sat Dec 15 2007,7:00 PM,Phoenix Suns,98,New Orleans Hornets,101,Box Score,,
Sat Dec 15 2007,7:30 PM,New Jersey Nets,86,New York Knicks,94,Box Score,,
Sat Dec 15 2007,7:00 PM,Memphis Grizzlies,123,Orlando Magic,119,Box Score,,
Sat Dec 15 2007,7:30 PM,Denver Nuggets,91,San Antonio Spurs,102,Box Score,,
Sat Dec 15 2007,7:00 PM,Seattle SuperSonics,75,Utah Jazz,96,Box Score,,
Sat Dec 15 2007,7:00 PM,Sacramento Kings,79,Washington Wizards,92,Box Score,,
Sun Dec 16 2007,6:00 PM,Portland Trail Blazers,116,Denver Nuggets,105,Box Score,,
Sun Dec 16 2007,12:30 PM,Golden State Warriors,87,Detroit Pistons,109,Box Score,,
Sun Dec 16 2007,6:30 PM,Los Angeles Clippers,92,Los Angeles Lakers,113,Box Score,,
Sun Dec 16 2007,1:00 PM,Boston Celtics,90,Toronto Raptors,77,Box Score,,
Mon Dec 17 2007,7:00 PM,Utah Jazz,111,Atlanta Hawks,116,Box Score,,
Mon Dec 17 2007,7:00 PM,Milwaukee Bucks,99,Cleveland Cavaliers,104,Box Score,2OT,
Mon Dec 17 2007,7:30 PM,Orlando Magic,108,Dallas Mavericks,111,Box Score,,
Mon Dec 17 2007,7:00 PM,Golden State Warriors,125,Memphis Grizzlies,117,Box Score,,
Mon Dec 17 2007,7:30 PM,Minnesota Timberwolves,87,Miami Heat,91,Box Score,,
Mon Dec 17 2007,7:30 PM,Indiana Pacers,119,New York Knicks,92,Box Score,,
Mon Dec 17 2007,7:00 PM,New Orleans Hornets,76,Portland Trail Blazers,88,Box Score,,
Mon Dec 17 2007,7:30 PM,Phoenix Suns,100,San Antonio Spurs,95,Box Score,,
Tue Dec 18 2007,7:30 PM,Los Angeles Lakers,103,Chicago Bulls,91,Box Score,,
Tue Dec 18 2007,7:30 PM,Toronto Raptors,80,Los Angeles Clippers,77,Box Score,,
Tue Dec 18 2007,7:30 PM,Sacramento Kings,106,New Jersey Nets,101,Box Score,,
Wed Dec 19 2007,7:00 PM,Miami Heat,111,Atlanta Hawks,114,Box Score,OT,Game protested and completed on 2008-03-08
Wed Dec 19 2007,7:00 PM,Detroit Pistons,87,Boston Celtics,85,Box Score,,
Wed Dec 19 2007,7:00 PM,Utah Jazz,92,Charlotte Bobcats,98,Box Score,,
Wed Dec 19 2007,8:30 PM,Phoenix Suns,105,Dallas Mavericks,108,Box Score,,
Wed Dec 19 2007,7:30 PM,Orlando Magic,97,Houston Rockets,92,Box Score,,
Wed Dec 19 2007,7:00 PM,Philadelphia 76ers,85,Indiana Pacers,102,Box Score,,
Wed Dec 19 2007,7:00 PM,San Antonio Spurs,85,Memphis Grizzlies,88,Box Score,,
Wed Dec 19 2007,7:00 PM,Sacramento Kings,102,Milwaukee Bucks,89,Box Score,,
Wed Dec 19 2007,7:00 PM,Golden State Warriors,111,Minnesota Timberwolves,98,Box Score,,
Wed Dec 19 2007,7:30 PM,Cleveland Cavaliers,90,New York Knicks,108,Box Score,,
Wed Dec 19 2007,7:00 PM,Toronto Raptors,96,Portland Trail Blazers,101,Box Score,,
Wed Dec 19 2007,7:00 PM,New Orleans Hornets,107,Seattle SuperSonics,93,Box Score,,
Wed Dec 19 2007,7:00 PM,Chicago Bulls,95,Washington Wizards,84,Box Score,,
Thu Dec 20 2007,8:00 PM,Los Angeles Lakers,90,Cleveland Cavaliers,94,Box Score,,
Thu Dec 20 2007,8:30 PM,Houston Rockets,111,Denver Nuggets,112,Box Score,2OT,
Thu Dec 20 2007,7:30 PM,New Jersey Nets,107,Miami Heat,103,Box Score,OT,
Fri Dec 21 2007,7:00 PM,Chicago Bulls,82,Boston Celtics,107,Box Score,,
Fri Dec 21 2007,7:00 PM,New York Knicks,95,Charlotte Bobcats,105,Box Score,,
Fri Dec 21 2007,8:30 PM,Los Angeles Clippers,89,Dallas Mavericks,102,Box Score,,
Fri Dec 21 2007,8:00 PM,Memphis Grizzlies,67,Detroit Pistons,94,Box Score,,
Fri Dec 21 2007,7:00 PM,Indiana Pacers,118,Minnesota Timberwolves,131,Box Score,,
Fri Dec 21 2007,7:00 PM,Utah Jazz,113,Orlando Magic,94,Box Score,,
Fri Dec 21 2007,7:00 PM,Los Angeles Lakers,106,Philadelphia 76ers,101,Box Score,,
Fri Dec 21 2007,7:00 PM,Denver Nuggets,96,Portland Trail Blazers,99,Box Score,,
Fri Dec 21 2007,7:30 PM,Toronto Raptors,115,Seattle SuperSonics,123,Box Score,,
Fri Dec 21 2007,7:00 PM,Atlanta Hawks,97,Washington Wizards,92,Box Score,,
Sat Dec 22 2007,7:30 PM,Houston Rockets,116,Chicago Bulls,98,Box Score,,
Sat Dec 22 2007,7:00 PM,Washington Wizards,85,Indiana Pacers,93,Box Score,,
Sat Dec 22 2007,7:00 PM,Philadelphia 76ers,99,Memphis Grizzlies,97,Box Score,,
Sat Dec 22 2007,7:30 PM,Utah Jazz,102,Miami Heat,104,Box Score,,
Sat Dec 22 2007,7:30 PM,Charlotte Bobcats,99,Milwaukee Bucks,103,Box Score,,
Sat Dec 22 2007,7:30 PM,Golden State Warriors,95,New Jersey Nets,100,Box Score,,
Sat Dec 22 2007,7:00 PM,Minnesota Timberwolves,76,New Orleans Hornets,110,Box Score,,
Sat Dec 22 2007,7:00 PM,Toronto Raptors,103,Phoenix Suns,122,Box Score,,
Sat Dec 22 2007,7:30 PM,Los Angeles Clippers,90,San Antonio Spurs,99,Box Score,,
Sun Dec 23 2007,6:30 PM,Orlando Magic,91,Boston Celtics,103,Box Score,,
Sun Dec 23 2007,6:00 PM,Golden State Warriors,105,Cleveland Cavaliers,96,Box Score,,
Sun Dec 23 2007,6:00 PM,Houston Rockets,82,Detroit Pistons,94,Box Score,,
Sun Dec 23 2007,12:00 PM,Los Angeles Lakers,95,New York Knicks,90,Box Score,,
Sun Dec 23 2007,6:00 PM,Denver Nuggets,106,Sacramento Kings,105,Box Score,,
Tue Dec 25 2007,2:30 PM,Miami Heat,82,Cleveland Cavaliers,96,Box Score,,
Tue Dec 25 2007,2:00 PM,Phoenix Suns,115,Los Angeles Lakers,122,Box Score,,
Tue Dec 25 2007,5:00 PM,Seattle SuperSonics,79,Portland Trail Blazers,89,Box Score,,
Wed Dec 26 2007,7:00 PM,Indiana Pacers,95,Atlanta Hawks,107,Box Score,,
Wed Dec 26 2007,7:00 PM,Washington Wizards,108,Charlotte Bobcats,104,Box Score,,
Wed Dec 26 2007,7:00 PM,Milwaukee Bucks,105,Denver Nuggets,125,Box Score,,
Wed Dec 26 2007,7:30 PM,Minnesota Timberwolves,101,Golden State Warriors,105,Box Score,,
Wed Dec 26 2007,7:00 PM,New Orleans Hornets,116,Memphis Grizzlies,98,Box Score,,
Wed Dec 26 2007,7:30 PM,Detroit Pistons,101,New Jersey Nets,83,Box Score,,
Wed Dec 26 2007,7:00 PM,New York Knicks,96,Orlando Magic,110,Box Score,,
Wed Dec 26 2007,6:00 PM,Miami Heat,85,Philadelphia 76ers,96,Box Score,,
Wed Dec 26 2007,7:00 PM,Boston Celtics,89,Sacramento Kings,69,Box Score,,
Wed Dec 26 2007,7:30 PM,Chicago Bulls,79,San Antonio Spurs,94,Box Score,,
Wed Dec 26 2007,7:00 PM,Dallas Mavericks,90,Utah Jazz,99,Box Score,,
Thu Dec 27 2007,7:00 PM,Cleveland Cavaliers,88,Dallas Mavericks,81,Box Score,,
Thu Dec 27 2007,7:30 PM,Phoenix Suns,108,Los Angeles Clippers,88,Box Score,,
Thu Dec 27 2007,7:30 PM,Boston Celtics,104,Seattle SuperSonics,96,Box Score,,
Fri Dec 28 2007,7:00 PM,New Orleans Hornets,99,Charlotte Bobcats,85,Box Score,,
Fri Dec 28 2007,7:30 PM,Milwaukee Bucks,99,Chicago Bulls,103,Box Score,,
Fri Dec 28 2007,8:00 PM,Indiana Pacers,101,Detroit Pistons,114,Box Score,,
Fri Dec 28 2007,7:30 PM,Denver Nuggets,124,Golden State Warriors,120,Box Score,,
Fri Dec 28 2007,7:30 PM,Utah Jazz,109,Los Angeles Lakers,123,Box Score,,
Fri Dec 28 2007,7:00 PM,Houston Rockets,103,Memphis Grizzlies,83,Box Score,,
Fri Dec 28 2007,7:30 PM,Orlando Magic,121,Miami Heat,114,Box Score,OT,
Fri Dec 28 2007,7:30 PM,Washington Wizards,106,New Jersey Nets,109,Box Score,,
Fri Dec 28 2007,7:00 PM,Los Angeles Clippers,88,Phoenix Suns,94,Box Score,,
Fri Dec 28 2007,7:00 PM,Minnesota Timberwolves,98,Portland Trail Blazers,109,Box Score,,
Fri Dec 28 2007,7:00 PM,Philadelphia 76ers,92,Sacramento Kings,80,Box Score,,
Fri Dec 28 2007,7:30 PM,Toronto Raptors,83,San Antonio Spurs,73,Box Score,,
Sat Dec 29 2007,12:00 PM,Atlanta Hawks,84,Dallas Mavericks,97,Box Score,,
Sat Dec 29 2007,7:30 PM,Toronto Raptors,79,Houston Rockets,91,Box Score,,
Sat Dec 29 2007,7:00 PM,Detroit Pistons,98,Indiana Pacers,92,Box Score,,
Sat Dec 29 2007,7:30 PM,New Jersey Nets,97,Milwaukee Bucks,95,Box Score,,
Sat Dec 29 2007,7:00 PM,Cleveland Cavaliers,76,New Orleans Hornets,86,Box Score,,
Sat Dec 29 2007,7:00 PM,Charlotte Bobcats,95,Orlando Magic,104,Box Score,,
Sat Dec 29 2007,7:00 PM,Minnesota Timberwolves,90,Seattle SuperSonics,109,Box Score,,
Sat Dec 29 2007,7:00 PM,Boston Celtics,104,Utah Jazz,98,Box Score,,
Sat Dec 29 2007,7:00 PM,Miami Heat,74,Washington Wizards,96,Box Score,,
Sun Dec 30 2007,6:00 PM,Golden State Warriors,105,Denver Nuggets,95,Box Score,,
Sun Dec 30 2007,7:00 PM,Boston Celtics,110,Los Angeles Lakers,91,Box Score,,
Sun Dec 30 2007,12:00 PM,Chicago Bulls,100,New York Knicks,83,Box Score,,
Sun Dec 30 2007,3:00 PM,Philadelphia 76ers,72,Portland Trail Blazers,97,Box Score,,
Sun Dec 30 2007,6:00 PM,Phoenix Suns,117,Sacramento Kings,102,Box Score,,
Sun Dec 30 2007,7:30 PM,Memphis Grizzlies,87,San Antonio Spurs,111,Box Score,,
Mon Dec 31 2007,2:00 PM,Indiana Pacers,103,Charlotte Bobcats,107,Box Score,OT,
Mon Dec 31 2007,1:00 PM,Orlando Magic,112,Chicago Bulls,110,Box Score,OT,
Mon Dec 31 2007,3:30 PM,Milwaukee Bucks,69,Detroit Pistons,114,Box Score,,
Mon Dec 31 2007,6:00 PM,Golden State Warriors,112,Houston Rockets,95,Box Score,,
Mon Dec 31 2007,6:30 PM,Minnesota Timberwolves,82,Los Angeles Clippers,91,Box Score,,
Mon Dec 31 2007,7:00 PM,Toronto Raptors,97,New Orleans Hornets,92,Box Score,,
Mon Dec 31 2007,7:00 PM,Philadelphia 76ers,98,Seattle SuperSonics,90,Box Score,,
Mon Dec 31 2007,6:00 PM,Portland Trail Blazers,101,Utah Jazz,111,Box Score,,
Wed Jan 2 2008,7:30 PM,Houston Rockets,93,Boston Celtics,97,Box Score,,
Wed Jan 2 2008,7:00 PM,Chicago Bulls,109,Charlotte Bobcats,97,Box Score,,
Wed Jan 2 2008,7:00 PM,Atlanta Hawks,94,Cleveland Cavaliers,98,Box Score,,
Wed Jan 2 2008,7:30 PM,Golden State Warriors,99,Dallas Mavericks,121,Box Score,,
Wed Jan 2 2008,7:00 PM,Memphis Grizzlies,90,Indiana Pacers,72,Box Score,,
Wed Jan 2 2008,7:30 PM,New Orleans Hornets,95,Los Angeles Clippers,81,Box Score,,
Wed Jan 2 2008,7:30 PM,Milwaukee Bucks,103,Miami Heat,98,Box Score,,
Wed Jan 2 2008,7:00 PM,Portland Trail Blazers,90,Minnesota Timberwolves,79,Box Score,,
Wed Jan 2 2008,7:30 PM,Sacramento Kings,107,New York Knicks,97,Box Score,,
Wed Jan 2 2008,7:00 PM,New Jersey Nets,96,Orlando Magic,95,Box Score,,
Wed Jan 2 2008,7:00 PM,Philadelphia 76ers,107,Utah Jazz,110,Box Score,,
Wed Jan 2 2008,7:00 PM,Detroit Pistons,106,Washington Wizards,93,Box Score,,
Thu Jan 3 2008,7:00 PM,Portland Trail Blazers,115,Chicago Bulls,109,Box Score,2OT,
Thu Jan 3 2008,7:00 PM,San Antonio Spurs,77,Denver Nuggets,80,Box Score,,
Thu Jan 3 2008,8:30 PM,Seattle SuperSonics,96,Phoenix Suns,104,Box Score,,
Fri Jan 4 2008,7:30 PM,Memphis Grizzlies,96,Boston Celtics,100,Box Score,,
Fri Jan 4 2008,7:30 PM,Sacramento Kings,93,Cleveland Cavaliers,97,Box Score,,
Fri Jan 4 2008,8:30 PM,Miami Heat,89,Dallas Mavericks,94,Box Score,,
Fri Jan 4 2008,7:30 PM,New Orleans Hornets,116,Golden State Warriors,104,Box Score,,
Fri Jan 4 2008,7:00 PM,Atlanta Hawks,91,Indiana Pacers,113,Box Score,,
Fri Jan 4 2008,7:30 PM,Philadelphia 76ers,93,Los Angeles Lakers,124,Box Score,,
Fri Jan 4 2008,7:30 PM,Washington Wizards,101,Milwaukee Bucks,77,Box Score,,
Fri Jan 4 2008,7:00 PM,Denver Nuggets,118,Minnesota Timberwolves,107,Box Score,,
Fri Jan 4 2008,7:30 PM,Charlotte Bobcats,96,New Jersey Nets,102,Box Score,,
Fri Jan 4 2008,7:00 PM,Houston Rockets,96,Orlando Magic,94,Box Score,,
Fri Jan 4 2008,7:30 PM,New York Knicks,93,San Antonio Spurs,97,Box Score,,
Fri Jan 4 2008,7:00 PM,Detroit Pistons,101,Toronto Raptors,85,Box Score,,
Sat Jan 5 2008,7:00 PM,New Jersey Nets,113,Atlanta Hawks,107,Box Score,,
Sat Jan 5 2008,7:30 PM,Sacramento Kings,93,Chicago Bulls,94,Box Score,,
Sat Jan 5 2008,7:30 PM,Boston Celtics,92,Detroit Pistons,85,Box Score,,
Sat Jan 5 2008,7:30 PM,New York Knicks,91,Houston Rockets,103,Box Score,,
Sat Jan 5 2008,7:00 PM,New Orleans Hornets,118,Phoenix Suns,113,Box Score,,
Sat Jan 5 2008,7:00 PM,Utah Jazz,89,Portland Trail Blazers,103,Box Score,,
Sun Jan 6 2008,6:00 PM,Milwaukee Bucks,93,Charlotte Bobcats,89,Box Score,,
Sun Jan 6 2008,6:00 PM,Philadelphia 76ers,96,Denver Nuggets,109,Box Score,,
Sun Jan 6 2008,12:30 PM,San Antonio Spurs,88,Los Angeles Clippers,82,Box Score,,
Sun Jan 6 2008,6:30 PM,Indiana Pacers,96,Los Angeles Lakers,112,Box Score,,
Sun Jan 6 2008,3:00 PM,Miami Heat,94,Memphis Grizzlies,101,Box Score,,
Sun Jan 6 2008,2:30 PM,Dallas Mavericks,101,Minnesota Timberwolves,78,Box Score,,
Sun Jan 6 2008,1:00 PM,Cleveland Cavaliers,93,Toronto Raptors,90,Box Score,,
Sun Jan 6 2008,1:00 PM,Seattle SuperSonics,86,Washington Wizards,108,Box Score,,
Mon Jan 7 2008,7:30 PM,San Antonio Spurs,121,Golden State Warriors,130,Box Score,OT,
Mon Jan 7 2008,7:00 PM,Denver Nuggets,115,Phoenix Suns,137,Box Score,,
Tue Jan 8 2008,7:00 PM,New Jersey Nets,99,Charlotte Bobcats,115,Box Score,,
Tue Jan 8 2008,7:30 PM,New York Knicks,105,Chicago Bulls,100,Box Score,,
Tue Jan 8 2008,7:00 PM,Seattle SuperSonics,79,Cleveland Cavaliers,95,Box Score,,
Tue Jan 8 2008,7:00 PM,Los Angeles Lakers,117,Memphis Grizzlies,101,Box Score,,
Tue Jan 8 2008,7:00 PM,Miami Heat,91,Minnesota Timberwolves,101,Box Score,,
Tue Jan 8 2008,7:00 PM,Milwaukee Bucks,87,Philadelphia 76ers,83,Box Score,,
Tue Jan 8 2008,7:00 PM,Orlando Magic,100,Sacramento Kings,104,Box Score,,
Tue Jan 8 2008,7:00 PM,Indiana Pacers,89,Utah Jazz,111,Box Score,,
Tue Jan 8 2008,7:00 PM,Houston Rockets,92,Washington Wizards,84,Box Score,,
Wed Jan 9 2008,7:00 PM,Cleveland Cavaliers,81,Atlanta Hawks,90,Box Score,,
Wed Jan 9 2008,7:30 PM,Charlotte Bobcats,95,Boston Celtics,83,Box Score,,
Wed Jan 9 2008,8:00 PM,Detroit Pistons,86,Dallas Mavericks,102,Box Score,,
Wed Jan 9 2008,7:30 PM,Orlando Magic,113,Los Angeles Clippers,106,Box Score,,
Wed Jan 9 2008,7:00 PM,Miami Heat,92,Milwaukee Bucks,98,Box Score,,
Wed Jan 9 2008,7:30 PM,Seattle SuperSonics,88,New Jersey Nets,99,Box Score,,
Wed Jan 9 2008,7:00 PM,Los Angeles Lakers,109,New Orleans Hornets,80,Box Score,,
Wed Jan 9 2008,7:30 PM,Houston Rockets,101,New York Knicks,92,Box Score,,
Wed Jan 9 2008,7:00 PM,Indiana Pacers,122,Phoenix Suns,129,Box Score,OT,
Wed Jan 9 2008,7:00 PM,Golden State Warriors,91,Portland Trail Blazers,109,Box Score,,
Wed Jan 9 2008,7:00 PM,Philadelphia 76ers,96,Toronto Raptors,109,Box Score,,
Thu Jan 10 2008,7:00 PM,Memphis Grizzlies,113,Sacramento Kings,116,Box Score,,
Thu Jan 10 2008,7:00 PM,Detroit Pistons,90,San Antonio Spurs,80,Box Score,,
Thu Jan 10 2008,8:30 PM,Phoenix Suns,86,Utah Jazz,108,Box Score,,
Fri Jan 11 2008,7:30 PM,Washington Wizards,102,Atlanta Hawks,98,Box Score,OT,
Fri Jan 11 2008,7:30 PM,Charlotte Bobcats,106,Cleveland Cavaliers,113,Box Score,2OT,
Fri Jan 11 2008,7:00 PM,Orlando Magic,103,Denver Nuggets,113,Box Score,,
Fri Jan 11 2008,7:30 PM,Memphis Grizzlies,104,Golden State Warriors,116,Box Score,,
Fri Jan 11 2008,7:30 PM,Minnesota Timberwolves,82,Houston Rockets,113,Box Score,,
Fri Jan 11 2008,7:30 PM,Milwaukee Bucks,105,Los Angeles Lakers,110,Box Score,,
Fri Jan 11 2008,7:30 PM,Boston Celtics,86,New Jersey Nets,77,Box Score,,
Fri Jan 11 2008,7:00 PM,Miami Heat,88,New Orleans Hornets,114,Box Score,,
Fri Jan 11 2008,7:30 PM,Toronto Raptors,99,New York Knicks,90,Box Score,,
Fri Jan 11 2008,7:00 PM,Chicago Bulls,100,Philadelphia 76ers,97,Box Score,,
Fri Jan 11 2008,7:30 PM,Dallas Mavericks,90,Seattle SuperSonics,70,Box Score,,
Sat Jan 12 2008,7:00 PM,Detroit Pistons,103,Charlotte Bobcats,100,Box Score,OT,
Sat Jan 12 2008,7:30 PM,Dallas Mavericks,95,Los Angeles Clippers,94,Box Score,,
Sat Jan 12 2008,7:00 PM,Milwaukee Bucks,114,Phoenix Suns,122,Box Score,,
Sat Jan 12 2008,7:00 PM,Indiana Pacers,111,Sacramento Kings,105,Box Score,,
Sat Jan 12 2008,7:30 PM,Minnesota Timberwolves,88,San Antonio Spurs,105,Box Score,,
Sat Jan 12 2008,7:00 PM,Orlando Magic,115,Utah Jazz,119,Box Score,,
Sat Jan 12 2008,7:30 PM,Boston Celtics,78,Washington Wizards,85,Box Score,,
Sun Jan 13 2008,2:00 PM,Chicago Bulls,84,Atlanta Hawks,105,Box Score,,
Sun Jan 13 2008,6:00 PM,Indiana Pacers,101,Golden State Warriors,106,Box Score,,
Sun Jan 13 2008,1:30 PM,New Orleans Hornets,87,Houston Rockets,82,Box Score,,
Sun Jan 13 2008,6:30 PM,Memphis Grizzlies,99,Los Angeles Lakers,100,Box Score,,
Sun Jan 13 2008,7:00 PM,Detroit Pistons,65,New York Knicks,89,Box Score,,
Sun Jan 13 2008,12:30 PM,Portland Trail Blazers,109,Toronto Raptors,116,Box Score,2OT,
Mon Jan 14 2008,7:30 PM,Washington Wizards,88,Boston Celtics,83,Box Score,,
Mon Jan 14 2008,7:00 PM,Denver Nuggets,116,Charlotte Bobcats,119,Box Score,,
Mon Jan 14 2008,7:30 PM,Portland Trail Blazers,99,New Jersey Nets,73,Box Score,,
Mon Jan 14 2008,7:00 PM,Dallas Mavericks,120,Sacramento Kings,122,Box Score,,
Mon Jan 14 2008,7:30 PM,Philadelphia 76ers,82,San Antonio Spurs,89,Box Score,,
Mon Jan 14 2008,7:00 PM,Los Angeles Lakers,123,Seattle SuperSonics,121,Box Score,OT,
Mon Jan 14 2008,7:00 PM,Milwaukee Bucks,87,Utah Jazz,98,Box Score,,
Tue Jan 15 2008,7:00 PM,Denver Nuggets,93,Atlanta Hawks,104,Box Score,,
Tue Jan 15 2008,7:30 PM,Toronto Raptors,89,Detroit Pistons,103,Box Score,,
Tue Jan 15 2008,7:30 PM,Philadelphia 76ers,111,Houston Rockets,107,Box Score,,
Tue Jan 15 2008,7:30 PM,Phoenix Suns,90,Los Angeles Clippers,97,Box Score,,
Tue Jan 15 2008,7:00 PM,Cleveland Cavaliers,132,Memphis Grizzlies,124,Box Score,OT,
Tue Jan 15 2008,7:00 PM,Golden State Warriors,105,Minnesota Timberwolves,98,Box Score,,
Tue Jan 15 2008,7:30 PM,Washington Wizards,93,New York Knicks,105,Box Score,,
Tue Jan 15 2008,7:00 PM,Chicago Bulls,88,Orlando Magic,102,Box Score,,
Wed Jan 16 2008,7:30 PM,Portland Trail Blazers,90,Boston Celtics,100,Box Score,,
Wed Jan 16 2008,7:00 PM,Orlando Magic,93,Charlotte Bobcats,99,Box Score,,
Wed Jan 16 2008,7:00 PM,Golden State Warriors,117,Indiana Pacers,125,Box Score,,
Wed Jan 16 2008,7:00 PM,Chicago Bulls,126,Miami Heat,96,Box Score,,
